fold,n_estimators,max_depth,max_features,k,l,accuracy,f1_weighted,roc_auc_ovr,train_accuracy,train_f1_weighted,train_roc_auc_ovr
1_1_1,50,,sqrt,,,0.6875,0.6517857142857143,0.8636363636363636,1.0,1.0,1.0
1_1_2,50,,sqrt,,,0.75,0.75,0.890340909090909,1.0,1.0,1.0
1_1_3,50,,sqrt,,,0.75,0.7458333333333333,0.8497159090909091,1.0,1.0,1.0
1_1_4,50,,sqrt,,,0.875,0.875,0.9693181818181817,1.0,1.0,1.0
1_1_5,50,,sqrt,,,0.9375,0.9364316239316239,0.9875,1.0,1.0,1.0
1_2_1,100,,sqrt,,,0.625,0.6014384920634921,0.8696022727272728,1.0,1.0,1.0
1_2_2,100,,sqrt,,,0.75,0.75,0.8647727272727272,1.0,1.0,1.0
1_2_3,100,,sqrt,,,0.75,0.7458333333333333,0.8710227272727273,1.0,1.0,1.0
1_2_4,100,,sqrt,,,0.75,0.7443181818181818,0.9306818181818182,1.0,1.0,1.0
1_2_5,100,,sqrt,,,1.0,1.0,0.98125,1.0,1.0,1.0
1_3_1,50,10.0,sqrt,,,0.6875,0.6517857142857143,0.8636363636363636,1.0,1.0,1.0
1_3_2,50,10.0,sqrt,,,0.75,0.75,0.899715909090909,1.0,1.0,1.0
1_3_3,50,10.0,sqrt,,,0.75,0.7458333333333333,0.8497159090909091,1.0,1.0,1.0
1_3_4,50,10.0,sqrt,,,0.875,0.875,0.9693181818181817,1.0,1.0,1.0
1_3_5,50,10.0,sqrt,,,0.9375,0.9364316239316239,0.9875,1.0,1.0,1.0
1_4_1,100,10.0,sqrt,,,0.625,0.6014384920634921,0.8696022727272728,1.0,1.0,1.0
1_4_2,100,10.0,sqrt,,,0.75,0.75,0.8647727272727272,1.0,1.0,1.0
1_4_3,100,10.0,sqrt,,,0.75,0.7458333333333333,0.8710227272727273,1.0,1.0,1.0
1_4_4,100,10.0,sqrt,,,0.75,0.7443181818181818,0.9306818181818182,1.0,1.0,1.0
1_4_5,100,10.0,sqrt,,,1.0,1.0,0.98125,1.0,1.0,1.0
1_5_1,50,,sqrt,,,0.75,0.7366071428571428,0.8752840909090909,1.0,1.0,1.0
1_5_2,50,,sqrt,,,0.75,0.75,0.9142045454545455,1.0,1.0,1.0
1_5_3,50,,sqrt,,,0.5625,0.5550213675213675,0.8136363636363636,1.0,1.0,1.0
1_5_4,50,,sqrt,,,0.8125,0.8068181818181818,0.922159090909091,1.0,1.0,1.0
1_5_5,50,,sqrt,,,0.875,0.876984126984127,0.9360795454545454,1.0,1.0,1.0
1_6_1,100,,sqrt,,,0.875,0.8683035714285714,0.890625,1.0,1.0,1.0
